layer,glb_usage,glb_read,glb_write,glb_access,dram_read,dram_write,dram_access,macs,latency,energy_per_layer,power_per_layer,m,n,e,p,q,r,t,Latency
mobilenetv1.conv0,33976,150400,163840,314240,7808,32768,40576,884736,240608,13.087224,10878.461231546748,32,1,8,4,3,1,2,240608
mobilenetv1.conv1,34472,1462528,1114112,2576640,69888,65536,135424,2686976,1523136,58.60593599999999,7695.430480272279,64,1,4,4,4,2,2,1523136
mobilenetv1.conv2,35240,2265344,1081344,3346688,110848,32768,143616,2392064,1885632,67.44561599999999,7153.635067712045,128,1,4,4,4,2,2,1885632
mobilenetv1.conv3,33704,2955776,2129920,5085696,121344,32768,154112,4489216,2768256,91.34985599999999,6599.812734082396,128,1,4,4,4,2,2,2768256
mobilenetv1.conv4,34088,2298112,1064960,3363072,106752,16384,123136,2244608,1851840,63.210096,6826.734059097978,256,1,4,4,4,2,2,1851840
mobilenetv1.conv5,33320,3021312,2113536,5134848,162304,16384,178688,4341760,2807168,96.47139199999998,6873.2182755004305,256,1,4,4,4,2,2,2807168
mobilenetv1.conv6,33512,2363648,1056768,3420416,153856,8192,162048,2170880,1920960,71.43575999999997,7437.50624687656,512,1,4,4,4,2,2,1920960
mobilenetv1.conv7,33128,3152384,2105344,5257728,281088,8192,289280,4268032,2998656,119.71900799999999,7984.844410295812,512,1,4,4,4,2,2,2998656
mobilenetv1.conv8,16808,2236928,1052672,3289600,543232,4096,547328,2134016,2333056,147.212896,12619.748175783176,1024,1,2,4,4,2,4,2333056
